N°Ordre,Cooperative/Groupe *,Code plantation *,Code Producteur *,Autres Codes Disponibles,Superficie Cacao (Ha) *,Rendement (kg/Ha) *,Estimation (Kg) *,Varieté Cacao,Gérant (Oui/Non/Inconnu),"Noms et Prénoms du Gérant (Si , gerant existe )",Latitude *,Longitude *,"Données Polygonales (Si possible, sinon a partager)"
1,A,FT/084-A2195-P001,FT/084-A2195,Non Disponible,1.9,674.7368421052632,1282,Tout Venant,Non,Non Disponible,6.4063181,-5.1512082,
2,A,FT/084-A2198-P001,FT/084-A2198,Non Disponible,2.3,674.7826086956522,1552,Tout Venant,Non,Non Disponible,6.4135644,-5.158274,
3,A,FT/084-A2200-P001,FT/084-A2200,Non Disponible,3.4,675.0,2295,Tout Venant,Non,Non Disponible,6.4251993,-5.1523496,
4,A,FT/084-A2202-P001,FT/084-A2202,Non Disponible,2.4,675.0,1620,Tout Venant,Non,Non Disponible,6.4080299,-5.1491282,
5,A,FT/084-A2725-P001,FT/084-A2725,Non Disponible,1.9,674.7368421052632,1282,Tout Venant,Non,Non Disponible,6.3733308,-5.1523661,
6,A,FT/084-A2728-P001,FT/084-A2728,Non Disponible,4.2,675.0,2835,Tout Venant,Non,Non Disponible,6.4130832,-5.1378315,
7,A,FT/084-A2731-P001,FT/084-A2731,Non Disponible,1.9,674.7368421052632,1282,Tout Venant,Non,Non Disponible,6.4280853,-5.152549,
8,A,FT/084-A1186-P001,FT/084-A1186,Non Disponible,2.8,675.0,1890,Tout Venant,Non,Non Disponible,6.3036842,-5.1369727,
9,A,FT/084-A1197-P001,FT/084-A1197,Non Disponible,4.5,674.8888888888889,3037,Tout Venant,Non,Non Disponible,6.2964669,-5.1281509,
10,A,FT/084-A1203-P001,FT/084-A1203,Non Disponible,4.5,674.8888888888889,3037,Tout Venant,Non,Non Disponible,6.2920016,-5.1356163,
11,A,FT/084-A1207-P001,FT/084-A1207,Non Disponible,3.2,675.0,2160,Tout Venant,Non,Non Disponible,6.2973796,-5.1224695,
12,A,FT/084-A1212-P001,FT/084-A1212,Non Disponible,5.9,674.9152542372881,3982,Tout Venant,Non,Non Disponible,6.292115,-5.1315345,
13,A,FT/084-A1253-P001,FT/084-A1253,Non Disponible,1.5,678.0,1017,Tout Venant,Non,Non Disponible,6.2815546,-5.133455,
14,A,FT/084-A1256-P001,FT/084-A1256,Non Disponible,2.784,674.9281609195402,1879,Tout Venant,Non,Non Disponible,6.3050462,-5.1399969,
15,A,FT/084-A1901-P001,FT/084-A1901,Non Disponible,2.407,674.6987951807229,1624,Tout Venant,Non,Non Disponible,6.2879956,-5.1299714,
16,A,FT/084-A1902-P001,FT/084-A1902,Non Disponible,4.306,674.8722712494194,2906,Tout Venant,Non,Non Disponible,6.2815758,-5.131555,
17,A,FT/084-A2204-P001,FT/084-A2204,Non Disponible,2.891,674.8529920442753,1951,Tout Venant,Non,Non Disponible,6.2785764,-5.1201661,
18,A,FT/084-A2564-P001,FT/084-A2564,Non Disponible,7.008,674.9429223744293,4730,Tout Venant,Non,Non Disponible,6.3080765,-5.1600745,
19,A,FT/084-A2569-P001,FT/084-A2569,Non Disponible,3.289,674.9771967163272,2220,Tout Venant,Non,Non Disponible,6.2900007,-5.1293522,
20,A,FT/084-A2571-P001,FT/084-A2571,Non Disponible,2.302,674.6307558644656,1553,Tout Venant,Non,Non Disponible,6.3119683,-5.1505044,
21,A,FT/084-A2573-P001,FT/084-A2573,Non Disponible,3.225,674.7286821705426,2176,Tout Venant,Non,Non Disponible,6.3115165,-5.1454492,
22,A,FT/084-A2579-P001,FT/084-A2579,Non Disponible,9.237,674.8944462487821,6234,Tout Venant,Non,Non Disponible,6.2884409,-5.134469,
23,A,FT/084-A2581-P001,FT/084-A2581,Non Disponible,3.275,674.8091603053435,2210,Tout Venant,Non,Non Disponible,6.3090456,-5.1559746,
24,A,FT/084-A2582-P001,FT/084-A2582,Non Disponible,1.35,674.8148148148148,911,Tout Venant,Non,Non Disponible,6.2944479,-5.1275516,
25,A,FT/084-A2659-P001,FT/084-A2659,Non Disponible,1.81,677.3480662983425,1226,Tout Venant,Non,Non Disponible,6.2988443,-5.134535,
26,A,FT/084-A2660-P001,FT/084-A2660,Non Disponible,2.711,674.6587974917005,1829,Tout Venant,Non,Non Disponible,6.3052561,-5.1430965,
27,A,FT/084-A2667-P001,FT/084-A2667,Non Disponible,2.256,674.6453900709221,1522,Tout Venant,Non,Non Disponible,6.2904809,-5.1280756,
28,A,FT/084-A2240-P001,FT/084-A2240,Non Disponible,1.73,676.878612716763,1171,Tout Venant,Non,Non Disponible,6.4454358,-5.2220115,
29,A,FT/084-A2246-P001,FT/084-A2246,Non Disponible,2.949,674.80501865039,1990,Tout Venant,Non,Non Disponible,6.4255997,-5.2141487,
30,A,FT/084-A2247-P001,FT/084-A2247,Non Disponible,2.21,674.6606334841629,1491,Tout Venant,Non,Non Disponible,6.4596876,-5.228717,
31,A,FT/084-A2248-P001,FT/084-A2248,Non Disponible,4.447,674.8369687429728,3001,Tout Venant,Non,Non Disponible,6.4245075,-5.2158206,
32,A,FT/084-A4386-P001,FT/084-A4386,Non Disponible,1.1,674.5454545454545,742,Tout Venant,Non,Non Disponible,6.4420284,-5.2210828,
33,A,FT/084-A4395-P001,FT/084-A4395,Non Disponible,1.09,674.3119266055045,735,Tout Venant,Non,Non Disponible,6.5001725,-5.2113146,
34,A,FT/084-A4396-P001,FT/084-A4396,Non Disponible,1.16,675.0,783,Tout Venant,Non,Non Disponible,6.4780907,-5.2334552,
35,A,FT/084-A4398-P001,FT/084-A4398,Non Disponible,1.6,675.0,1080,Tout Venant,Non,Non Disponible,6.4574524,-5.2324589,
36,A,FT/084-A4410-P001,FT/084-A4410,Non Disponible,1.39,674.8201438848921,938,Tout Venant,Non,Non Disponible,6.4843874,-5.2371047,
37,A,FT/084-A4412-P001,FT/084-A4412,Non Disponible,1.3,674.6153846153846,877,Tout Venant,Non,Non Disponible,6.4845323,-5.2361523,
38,A,FT/084-A4413-P001,FT/084-A4413,Non Disponible,1.36,675.0,918,Tout Venant,Non,Non Disponible,6.4849202,-5.2363017,
39,A,FT/084-A1214-P001,FT/084-A1214,Non Disponible,1.2,675.0,810,Tout Venant,Non,Non Disponible,6.434271,-5.2232345,
40,A,FT/084-A1219-P001,FT/084-A1219,Non Disponible,1.17,674.3589743589744,789,Tout Venant,Non,Non Disponible,6.4857875,-5.2347018,
41,A,FT/084-A1220-P001,FT/084-A1220,Non Disponible,5.918,674.8901655964853,3994,Tout Venant,Non,Non Disponible,6.4889531,-5.2352619,
42,A,FT/084-A1223-P001,FT/084-A1223,Non Disponible,3.125,674.88,2109,Tout Venant,Non,Non Disponible,6.493393,-5.2090632,
43,A,FT/084-A1225-P001,FT/084-A1225,Non Disponible,6.342,674.8659728792179,4280,Tout Venant,Non,Non Disponible,6.5015479,-5.2168648,
44,A,FT/084-A1226-P001,FT/084-A1226,Non Disponible,1.99,674.8743718592965,1343,Tout Venant,Non,Non Disponible,6.5038052,-5.2282801,
