id_1,id_2,pourcentage_chevauchement
1030043449-P001,10300704592-P001,87.37
1030023347-P001,10304604494-P001,89.69
1030291247-P001,1030293136-P001,17.17
1030303370-P002,10303004644-P001,97.69
1030321981-P001,10303204627-P001,28.18
1030010201-P002,1030010201-P001,28.04
1030283229-P001,10302804577-P001,89.95
1030282686-P001,1030282695-P001,19.25
1030010055-P001,10300104399-P001,16.99
1030010087-P001,1030030687-P002,30.42
1030170302-P001,1030170317-P001,92.8
1030170311-P001,1030170317-P001,33.47
1030030703-P001,1030030703-P002,98.2
1030030724-P001,1030030733-P001,92.45
1030100780-P001,1030090955-P002,22.92
1030090928-P001,1030090969-P001,92.91
1030090948-P001,1030291249-P002,87.57
1030081179-P001,1030081202-P001,95.64
1030081183-P001,1030342519-P001,80.01
1030081236-P001,10300804062-P001,74.17
1030111516-P001,1030111549-P001,15.52
1030111537-P001,1030111539-P001,20.24
1030111537-P001,1030112343-P001,29.54
1030111539-P001,1030111550-P001,95.74
1030121728-P001,10303103864-P002,99.87
1030082068-P001,1030342523-P002,16.83
1030112333-P001,1030112440-P001,19.98
1030352362-P001,1030352474-P001,17.53
1030352371-P001,1030353197-P001,58.81
1030352379-P001,10303503552-P001,96.14
1030102799-P001,10300804008-P001,22.84
1030030614-P002,1030030687-P002,86.19
1030030653-P002,1030033035-P001,37.91
1030342512-P002,10304504074-P001,94.64
1030223042-P001,10303204609-P001,20.26
10303503566-P001,10303504568-P002,100.0
10303103873-P001,10300104344-P001,16.45
