identifiant,type_anomalie,colonne_concernee,valeur
FT/084-A2200-P001,Plantation sans producteur associé,code_producteur,FT/084-A2200
FT/084-A2728-P001,Plantation sans producteur associé,code_producteur,FT/084-A2728
FT/084-A1186-P001,Plantation sans producteur associé,code_producteur,FT/084-A1186
FT/084-A1197-P001,Plantation sans producteur associé,code_producteur,FT/084-A1197
FT/084-A1212-P001,Plantation sans producteur associé,code_producteur,FT/084-A1212
FT/084-A1256-P001,Plantation sans producteur associé,code_producteur,FT/084-A1256
FT/084-A1902-P001,Plantation sans producteur associé,code_producteur,FT/084-A1902
FT/084-A2569-P001,Plantation sans producteur associé,code_producteur,FT/084-A2569
FT/084-A2573-P001,Plantation sans producteur associé,code_producteur,FT/084-A2573
FT/084-A2579-P001,Plantation sans producteur associé,code_producteur,FT/084-A2579
FT/084-G1297-P001,Plantation sans producteur associé,code_producteur,FT/084-G1297
FT/084-G2443-P001,Plantation sans producteur associé,code_producteur,FT/084-G2443
FT/084-G2449-P001,Plantation sans producteur associé,code_producteur,FT/084-G2449
FT/084-T2475-P001,Plantation sans producteur associé,code_producteur,FT/084-T2475
FT/084-T2551-P001,Plantation sans producteur associé,code_producteur,FT/084-T2551
FT/084-T3037-P001,Plantation sans producteur associé,code_producteur,FT/084-T3037
FT/084-T893-P001,Plantation sans producteur associé,code_producteur,FT/084-T893
FT/084-G5052-P001,Plantation sans producteur associé,code_producteur,FT/084-G5052
FT/084-G2019-P001,Plantation sans producteur associé,code_producteur,FT/084-G2019
FT/084-G1944-P001,Plantation sans producteur associé,code_producteur,FT/084-G1944
FT/084-A2578-P001,Plantation sans producteur associé,code_producteur,FT/084-A2578
FT/084-A1191-P001,Plantation sans producteur associé,code_producteur,FT/084-A1191
1030010003,Écart estimation > 10 %,estimation_totale_kg,-28.794037940379404
1030010008,Écart estimation > 10 %,estimation_totale_kg,-45.65587734241908
1030010009,Écart estimation > 10 %,estimation_totale_kg,-17.224231464737795
1030010011,Écart estimation > 10 %,estimation_totale_kg,-51.54680138502583
1030010014,Écart estimation > 10 %,estimation_totale_kg,16.563146997929607
1030010015,Écart estimation > 10 %,estimation_totale_kg,62.65182186234818
1030010022,Écart estimation > 10 %,estimation_totale_kg,18.979591836734695
1030010026,Écart estimation > 10 %,estimation_totale_kg,57.57575757575758
1030010028,Écart estimation > 10 %,estimation_totale_kg,111.88118811881189
1030010030,Écart estimation > 10 %,estimation_totale_kg,59.42606616181746
1030010046,Écart estimation > 10 %,estimation_totale_kg,110.69042316258353
1030010048,Écart estimation > 10 %,estimation_totale_kg,20.431472081218274
1030010049,Écart estimation > 10 %,estimation_totale_kg,-17.364813404417365
1030010050,Écart estimation > 10 %,estimation_totale_kg,-23.389830508474578
1030010054,Écart estimation > 10 %,estimation_totale_kg,220.18278750952018
1030010061,Écart estimation > 10 %,estimation_totale_kg,10.24390243902439
1030010069,Écart estimation > 10 %,estimation_totale_kg,-20.92457420924574
1030010075,Écart estimation > 10 %,estimation_totale_kg,78.50877192982456
1030010079,Écart estimation > 10 %,estimation_totale_kg,-18.394648829431436
1030010081,Écart estimation > 10 %,estimation_totale_kg,10.30741410488246
1030010096,Écart estimation > 10 %,estimation_totale_kg,30.217669654289374
1030010100,Écart estimation > 10 %,estimation_totale_kg,-15.034168564920272
1030010101,Écart estimation > 10 %,estimation_totale_kg,-16.64804469273743
1030010111,Écart estimation > 10 %,estimation_totale_kg,49.6551724137931
1030010114,Écart estimation > 10 %,estimation_totale_kg,-15.777940102264425
1030010119,Écart estimation > 10 %,estimation_totale_kg,-11.272727272727273
1030010121,Écart estimation > 10 %,estimation_totale_kg,-29.928741092636578
1030010122,Écart estimation > 10 %,estimation_totale_kg,-19.072737368128816
1030010125,Écart estimation > 10 %,estimation_totale_kg,33.214285714285715
1030010126,Écart estimation > 10 %,estimation_totale_kg,-52.578671328671334
1030010127,Écart estimation > 10 %,estimation_totale_kg,30.86816720257235
1030010130,Écart estimation > 10 %,estimation_totale_kg,-41.46868250539957
1030010132,Écart estimation > 10 %,estimation_totale_kg,234.357316087308
1030010134,Écart estimation > 10 %,estimation_totale_kg,139.01808785529715
1030010139,Écart estimation > 10 %,estimation_totale_kg,182.92046936114733
1030010140,Écart estimation > 10 %,estimation_totale_kg,29.778506972928632
1030010141,Écart estimation > 10 %,estimation_totale_kg,91.84692179700498
1030010142,Écart estimation > 10 %,estimation_totale_kg,30.217669654289374
1030010148,Écart estimation > 10 %,estimation_totale_kg,-53.27210103329506
1030010153,Écart estimation > 10 %,estimation_totale_kg,-36.94103680253264
1030010161,Écart estimation > 10 %,estimation_totale_kg,-19.08006814310051
1030010166,Écart estimation > 10 %,estimation_totale_kg,47.71048744460857
1030010169,Écart estimation > 10 %,estimation_totale_kg,-30.30821917808219
1030010170,Écart estimation > 10 %,estimation_totale_kg,-57.175660160734786
1030010171,Écart estimation > 10 %,estimation_totale_kg,21.57800358637179
1030010172,Écart estimation > 10 %,estimation_totale_kg,-14.55902939804013
1030010174,Écart estimation > 10 %,estimation_totale_kg,93.86574074074075
1030010175,Écart estimation > 10 %,estimation_totale_kg,-49.545078577336646
1030010176,Écart estimation > 10 %,estimation_totale_kg,-23.54368932038835
1030010191,Écart estimation > 10 %,estimation_totale_kg,16.81462140992167
1030010203,Écart estimation > 10 %,estimation_totale_kg,-61.23499142367067
1030010207,Écart estimation > 10 %,estimation_totale_kg,-28.66535174227482
