identifiant,type_anomalie,colonne_concernee,valeur
1030100758-P001,Geometrie vide,geometry,empty
1030081143-P001,Geometrie vide,geometry,empty
1030081148-P001,Geometrie vide,geometry,empty
1030081177-P001,Geometrie vide,geometry,empty
1030081209-P001,Geometrie vide,geometry,empty
1030081231-P001,Geometrie vide,geometry,empty
1030081235-P001,Geometrie vide,geometry,empty
1030082056-P001,Geometrie vide,geometry,empty
1030082060-P001,Geometrie vide,geometry,empty
1030332233-P001,Geometrie vide,geometry,empty
1030100758-P001,Centroide non calculable (geometry vide),centroid,
1030081143-P001,Centroide non calculable (geometry vide),centroid,
1030081148-P001,Centroide non calculable (geometry vide),centroid,
1030081177-P001,Centroide non calculable (geometry vide),centroid,
1030081209-P001,Centroide non calculable (geometry vide),centroid,
1030081231-P001,Centroide non calculable (geometry vide),centroid,
1030081235-P001,Centroide non calculable (geometry vide),centroid,
1030082056-P001,Centroide non calculable (geometry vide),centroid,
1030082060-P001,Centroide non calculable (geometry vide),centroid,
1030332233-P001,Centroide non calculable (geometry vide),centroid,
1030311890-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030311868-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030311856-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030311872-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030311876-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030311875-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030311880-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030311878-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030311879-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030311905-P001,Doublon attributaire Farms_ID,Farms_ID,3
1030121732-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030311886-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030122731-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030121726-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030022006-P002,Doublon attributaire Farms_ID,Farms_ID,2
1030311859-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030121734-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030121697-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030311877-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030311870-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030311861-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030311864-P001,Doublon attributaire Farms_ID,Farms_ID,2
1030311897-P001,Doublon attributaire Farms_ID,Farms_ID,2
