code_plantation,code_producteur,cooperative,superficie_cacao_ha,surface_calculee_ha,ecart_surface_pct,anomalie_surface
1030010001-P001,1030010001,A,1.1,1.1213382033296455,1.939836666331402,False
1030010002-P001,1030010002,A,2.0,2.1146563813950774,5.7328190697538695,False
1030010003-P001,1030010003,A,3.1,2.129448779869336,-31.30810387518272,True
1030010004-P001,1030010004,A,2.0,2.0518527115741705,2.5926355787085242,False
1030010005-P001,1030010005,A,1.45,1.4762417909290666,1.8097786847632171,False
1030010006-P001,1030010006,A,1.5,1.5222222940192303,1.481486267948684,False
1030010007-P001,1030010007,A,0.44,0.4399380862353324,-0.014071310151721826,False
1030010008-P001,1030010008,A,0.47,0.8684235220188397,84.77096213166803,True
1030010009-P001,1030010009,A,2.7,3.2674231762392685,21.015673194046972,True
1030010010-P001,1030010010,A,3.26,3.3074090794169955,1.4542662397851438,False
1030010011-P001,1030010011,A,12.59,8.517499692165165,-32.34710331878344,True
1030010012-P001,1030010012,A,5.66,2.509366974397105,-55.66489444528083,True
1030010013-P001,1030010013,A,0.89,0.9054720029114798,1.7384272934246925,False
1030010014-P001,1030010014,A,0.83,0.718910496245106,-13.384277560830604,True
1030010015-P001,1030010015,A,2.37,1.4655285889427072,-38.16335067752291,True
1030010016-P001,1030010016,A,1.38,1.4013220578048982,1.54507665252886,False
1030010017-P001,1030010017,A,1.43,1.4437605439877463,0.962275803338909,False
1030010018-P001,1030010018,A,1.87,0.9095415435414715,-51.36141478387854,True
1030010019-P001,1030010019,A,0.73,0.7474590681555512,2.391653171993316,False
1030010020-P001,1030010020,A,0.5,0.50613375330865,1.2267506617299917,False
1030010021-P001,1030010021,A,1.04,1.0431009319233682,0.2981665310930897,False
1030010022-P001,1030010022,A,0.86,0.7304153182736582,-15.06798624724904,True
1030010023-P001,1030010023,A,1.2,1.2322929504228521,2.691079201904349,False
1030010025-P001,1030010025,A,1.13,1.1487659311288747,1.6607018698119307,False
1030010026-P001,1030010026,A,1.38,0.8822219813067904,-36.07087091979779,True
1030010027-P001,1030010027,A,2.65,2.6881121965044366,1.4381960945070433,False
