code_producteur,n
FT/084-A2195,1
10300303471,1
10300103452,1
10300103451,1
10300103450,1
10300103449,1
10300103448,1
10300103447,1
10300103444,1
1030373734,1
1030373732,1
1030373728,1
1030373723,1
1030373722,1
1030373721,1
1030352363,1
1030342516,1
10300103455,1
10300103458,1
10300103460,1
10300104068,1
10300303469,1
10300303468,1
10300303467,1
10300303466,1
10300303465,1
10300303464,1
10300103911,1
10300103772,1
10300103910,1
10300103908,1
10300103907,1
10300103896,1
10300103894,1
10300103886,1
1030342311,1
1030332233,1
1030321948,1
1030242273,1
1030243387,1
1030243386,1
1030243385,1
1030243384,1
1030242277,1
1030242275,1
1030242272,1
1030243392,1
1030242271,1
1030242270,1
1030241676,1
1030241673,1
1030241669,1
1030241667,1
1030243390,1
1030243394,1
1030311866,1
1030291267,1
1030301929,1
1030293154,1
1030293127,1
1030292087,1
1030291294,1
1030291272,1
1030291263,1
1030252595,1
1030291255,1
1030291245,1
1030291244,1
1030282684,1
1030252626,1
1030252609,1
10300303470,1
10300303472,1
10302903778,1
10300303473,1
10301603980,1
10301603979,1
10301603976,1
10301603851,1
10301603850,1
10301603849,1
10301603848,1
10301603847,1
10301603846,1
10301603844,1
10301603843,1
10301603842,1
10301603841,1
10301403968,1
10301403533,1
10301903534,1
10301903535,1
10301903536,1
10302503858,1
10302903776,1
10302903775,1
10302903774,1
10302903773,1
10302703923,1
10302603545,1
10302503857,1
10301903958,1
10302203542,1
10302203541,1
10302103540,1
10302103539,1
10302103538,1
10302103537,1
10301403532,1
10301403531,1
10301003856,1
10300703486,1
10300803501,1
10300803500,1
10300803499,1
10300803498,1
10300803496,1
10300803493,1
10300703485,1
10300803503,1
10300603483,1
10300603482,1
10300303477,1
10300303476,1
10300303475,1
10300303474,1
10300803502,1
10300803504,1
10301003855,1
10300903509,1
10301003854,1
10301003853,1
10301003513,1
10301003512,1
10301003511,1
10301003510,1
10300804046,1
10300803505,1
10300804041,1
10300804029,1
10300804000,1
10300803508,1
10300803507,1
10300803506,1
1030241666,1
1030241663,1
1030241658,1
1030241657,1
1030070370,1
1030070367,1
1030070366,1
1030070365,1
1030070357,1
1030070352,1
1030070351,1
1030070350,1
1030070348,1
1030070347,1
1030070336,1
1030070335,1
1030070331,1
1030070327,1
1030070326,1
1030070372,1
1030070378,1
1030070379,1
1030081174,1
1030081234,1
1030081231,1
1030081229,1
1030081209,1
1030081193,1
1030081177,1
1030081148,1
1030070381,1
1030081143,1
1030081122,1
1030073709,1
1030073708,1
1030072348,1
1030070385,1
1030070325,1
1030051052,1
1030051051,1
1030040492,1
1030040558,1
1030040541,1
1030040519,1
1030040508,1
1030040506,1
1030040494,1
1030040484,1
1030043437,1
1030040482,1
1030032419,1
1030030723,1
1030030708,1
1030030660,1
1030030621,1
1030043436,1
1030043445,1
1030051049,1
1030051023,1
1030051046,1
1030051043,1
1030051040,1
1030051033,1
1030051032,1
1030051028,1
1030051014,1
1030043446,1
1030051011,1
1030051007,1
1030051005,1
1030051002,1
1030043450,1
1030043447,1
1030081235,1
1030082046,1
1030082052,1
1030121742,1
1030122118,1
1030122115,1
1030122114,1
1030122109,1
1030121744,1
1030121743,1
1030121741,1
1030122125,1
1030121740,1
1030121736,1
1030121729,1
1030121727,1
1030121725,1
1030121724,1
1030122124,1
1030122726,1
1030121721,1
1030241628,1
1030241655,1
1030241654,1
1030241645,1
1030241644,1
1030241641,1
1030241636,1
1030241627,1
1030122730,1
1030241624,1
1030221085,1
1030122744,1
1030122742,1
1030122739,1
1030122738,1
1030121722,1
1030121719,1
1030082056,1
1030102668,1
1030111543,1
1030102817,1
1030102674,1
1030102671,1
1030102670,1
1030102669,1
1030102667,1
1030121682,1
1030100758,1
1030083454,1
1030083414,1
1030082079,1
1030082076,1
1030082060,1
1030112340,1
1030121684,1
1030121718,1
1030121700,1
1030121714,1
1030121713,1
1030121710,1
1030121704,1
1030121702,1
1030121701,1
1030121699,1
1030121685,1
1030121698,1
1030121694,1
1030121691,1
1030121690,1
1030121687,1
1030121686,1
10302903777,1
10302903779,1
FT/084-A2198,1
FT/084-G2026,1
10304403749,1
10304403748,1
10304403746,1
10304403745,1
10304403744,1
10304403743,1
10304403742,1
10304403740,1
10304403739,1
10304403738,1
10304403737,1
10304403736,1
10304403735,1
10304403734,1
10304403731,1
10304403750,1
10304403751,1
10304403752,1
10304403763,1
10304403771,1
10304403770,1
10304403769,1
10304403767,1
10304403765,1
10304403764,1
10304403762,1
