code_producteur,nb_plantations_total,superficie_decl_totale,nb_jointes,superficie_calc_totale,nb_anomalies,taux_couverture_geo,taux_anomalies,ecart_surface_total_ha,cooperative
1030010001,1,1.1,1.0,1.1213382033296455,0.0,100.0,0.0,-0.02,A
1030010002,1,2.0,1.0,2.1146563813950774,0.0,100.0,0.0,-0.11,A
1030010003,1,3.1,1.0,2.129448779869336,1.0,100.0,100.0,0.97,A
1030010004,1,2.0,1.0,2.0518527115741705,0.0,100.0,0.0,-0.05,A
1030010005,1,1.45,1.0,1.4762417909290666,0.0,100.0,0.0,-0.03,A
1030010006,1,1.5,1.0,1.5222222940192305,0.0,100.0,0.0,-0.02,A
1030010007,1,0.44,1.0,0.4399380862353324,0.0,100.0,0.0,0.0,A
1030010008,1,0.47,1.0,0.8684235220188397,1.0,100.0,100.0,-0.4,A
1030010009,1,2.7,1.0,3.2674231762392685,1.0,100.0,100.0,-0.57,A
1030010010,1,3.26,1.0,3.3074090794169955,0.0,100.0,0.0,-0.05,A
1030010011,1,12.59,1.0,8.517499692165165,1.0,100.0,100.0,4.07,A
1030010012,1,5.66,1.0,2.509366974397105,1.0,100.0,100.0,3.15,A
1030010013,1,0.89,1.0,0.9054720029114798,0.0,100.0,0.0,-0.02,A
1030010014,1,0.83,1.0,0.718910496245106,1.0,100.0,100.0,0.11,A
1030010015,1,2.37,1.0,1.4655285889427072,1.0,100.0,100.0,0.9,A
1030010016,1,1.38,1.0,1.4013220578048982,0.0,100.0,0.0,-0.02,A
1030010017,1,1.43,1.0,1.4437605439877463,0.0,100.0,0.0,-0.01,A
1030010018,1,1.87,1.0,0.9095415435414717,1.0,100.0,100.0,0.96,A
1030010019,1,0.73,1.0,0.7474590681555512,0.0,100.0,0.0,-0.02,A
1030010020,1,0.5,1.0,0.50613375330865,0.0,100.0,0.0,-0.01,A
1030010021,1,1.04,1.0,1.0431009319233682,0.0,100.0,0.0,-0.0,A
1030010022,1,0.86,1.0,0.7304153182736582,1.0,100.0,100.0,0.13,A
1030010023,1,1.2,1.0,1.232292950422852,0.0,100.0,0.0,-0.03,A
1030010025,1,1.13,1.0,1.1487659311288747,0.0,100.0,0.0,-0.02,A
1030010026,1,1.38,1.0,0.8822219813067904,1.0,100.0,100.0,0.5,A
1030010027,1,2.65,1.0,2.688112196504437,0.0,100.0,0.0,-0.04,A
1030010028,1,7.26,1.0,3.1231030249580756,1.0,100.0,100.0,4.14,A
1030010029,1,2.1,1.0,2.1116855820195206,0.0,100.0,0.0,-0.01,A
1030010030,1,5.9,1.0,3.7054097107360415,1.0,100.0,100.0,2.19,A
1030010033,1,2.2,1.0,2.092382040477769,0.0,100.0,0.0,0.11,A
1030010035,1,1.3,1.0,1.28694279295652,0.0,100.0,0.0,0.01,A
1030010036,1,0.8,1.0,0.761720526001352,0.0,100.0,0.0,0.04,A
1030010037,1,1.6,1.0,1.4613284273446288,0.0,100.0,0.0,0.14,A
1030010038,1,2.2,1.0,2.2475942129262805,0.0,100.0,0.0,-0.05,A
1030010042,1,4.2,1.0,4.2604984668216614,0.0,100.0,0.0,-0.06,A
1030010044,1,2.64,1.0,2.6961886158748065,0.0,100.0,0.0,-0.06,A
1030010045,1,2.6,1.0,2.5803178311740025,0.0,100.0,0.0,0.02,A
1030010046,1,1.4,1.0,0.6630169887290581,1.0,100.0,100.0,0.74,A
1030010047,1,0.7,1.0,0.7129540933714995,0.0,100.0,0.0,-0.01,A
1030010048,1,1.4,1.0,1.1674111859898262,1.0,100.0,100.0,0.23,A
1030010049,1,1.6,1.0,1.9433419436639687,1.0,100.0,100.0,-0.34,A
1030010050,1,3.0,1.0,3.91704196116573,1.0,100.0,100.0,-0.92,A
1030010051,1,0.8,1.0,0.8797147907265207,0.0,100.0,0.0,-0.08,A
1030010052,1,1.5,1.0,1.6405258918387096,0.0,100.0,0.0,-0.14,A
1030010053,1,1.8,1.0,1.96488063339937,0.0,100.0,0.0,-0.16,A
1030010054,1,6.2,1.0,1.941926502916063,1.0,100.0,100.0,4.26,A
1030010055,1,1.3,1.0,1.364902266605741,0.0,100.0,0.0,-0.06,A
1030010056,1,4.5,1.0,4.343254238744762,0.0,100.0,0.0,0.16,A
1030010060,1,3.9,1.0,3.930537892740558,0.0,100.0,0.0,-0.03,A
1030010061,1,2.0,1.0,1.8170514274218124,0.0,100.0,0.0,0.18,A
1030010063,1,17.4,1.0,18.081437633572424,0.0,100.0,0.0,-0.68,A
1030010065,1,1.7,1.0,1.5991961551400529,0.0,100.0,0.0,0.1,A
1030010066,1,1.4,1.0,1.411939847438086,0.0,100.0,0.0,-0.01,A
1030010067,1,2.5,1.0,2.468802158136727,0.0,100.0,0.0,0.03,A
1030010068,1,0.6,1.0,0.5750332515171587,0.0,100.0,0.0,0.02,A
1030010069,1,1.0,1.0,1.213580650996855,1.0,100.0,100.0,-0.21,A
1030010071,1,1.54,1.0,1.5902872717443624,0.0,100.0,0.0,-0.05,A
1030010072,1,2.2,1.0,2.1646363767729135,0.0,100.0,0.0,0.04,A
1030010074,1,1.5,1.0,1.4709175019619063,0.0,100.0,0.0,0.03,A
1030010075,1,1.2,1.0,0.6734633889710226,1.0,100.0,100.0,0.53,A
1030010076,1,0.9,1.0,0.9233364865401904,0.0,100.0,0.0,-0.02,A
1030010077,1,1.4,1.0,1.3783718712451232,0.0,100.0,0.0,0.02,A
1030010079,1,1.44,1.0,1.7698316586777731,1.0,100.0,100.0,-0.33,A
1030010080,1,4.3,1.0,4.496545491152984,0.0,100.0,0.0,-0.2,A
1030010081,1,0.9,1.0,0.8198221189361151,0.0,100.0,0.0,0.08,A
1030010082,1,0.7,1.0,0.7117443193995451,0.0,100.0,0.0,-0.01,A
1030010086,1,1.0,1.0,1.086825696692303,0.0,100.0,0.0,-0.09,A
1030010087,1,1.0,1.0,1.0814287377196037,0.0,100.0,0.0,-0.08,A
1030010088,1,2.7,1.0,0.8296331242457947,1.0,100.0,100.0,1.87,A
1030010089,1,0.8,1.0,0.8168179605709375,0.0,100.0,0.0,-0.02,A
